POA_CODE_2016,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
POA4798,4,0,11,86,109,72,90,115,66,545
POA4799,4,3,4,118,191,116,132,156,133,853
POA4800,60,55,166,1322,2006,947,847,1387,972,7484
POA4801,0,0,0,105,27,3,3,111,8,256
POA4802,9,6,36,1826,2097,831,617,1348,1284,7995
POA4803,0,0,0,429,271,46,23,292,661,1722
POA4804,14,6,32,221,301,180,152,323,249,1423
POA4805,90,60,210,1526,2089,1031,894,2055,1239,8834
POA4806,36,49,129,579,723,422,419,662,379,3184
POA4807,134,65,313,1797,2236,1091,1021,1923,996,9067
POA4808,6,3,22,187,247,132,111,184,59,916
POA4809,0,3,3,168,196,112,102,167,85,833
POA4810,208,93,450,4608,5223,1820,1167,3579,2429,18832
POA4811,46,21,105,2263,2809,1196,917,1769,1796,10753
POA4812,264,64,497,3474,4405,1686,1241,3308,1314,15429
POA4814,289,97,600,8778,10065,4121,3151,7631,3441,37186
POA4815,85,36,215,3232,4227,1978,1687,3369,1544,16030
POA4816,17,8,52,1803,1729,863,916,1378,663,7356
POA4817,191,29,299,5247,6797,2966,2325,4507,1762,23595
POA4818,33,12,79,4495,6248,2598,2241,3746,1767,21082
POA4819,9,9,33,348,593,291,201,347,299,2069
POA4820,94,40,196,1476,1947,1012,967,1867,1190,8454
POA4821,14,0,24,195,262,142,114,244,130,1088
POA4822,3,3,8,129,150,61,68,158,81,638
POA4823,3,0,9,140,185,62,67,239,84,781
POA4824,7,8,20,389,486,192,182,542,417,2213
POA4825,27,19,84,3153,3824,1475,1210,2893,2030,14596
POA4828,0,0,0,35,23,0,13,46,39,166
POA4829,0,0,0,62,95,31,23,84,88,379
POA4830,0,0,5,529,136,39,18,289,105,1117
POA4849,36,5,58,168,276,159,144,316,161,1220
POA4850,181,73,414,1523,2172,1246,1271,1929,1066,9214
POA4852,9,15,43,491,822,419,393,455,473,3046
POA4854,49,25,99,818,1084,539,464,994,564,4462
POA4855,5,3,9,107,159,86,80,100,99,624
POA4856,0,4,10,104,141,64,86,96,88,580
POA4858,8,0,22,232,323,152,164,215,98,1181
POA4859,0,6,8,74,96,55,44,84,44,397
POA4860,190,38,337,1578,2177,1072,978,2133,1187,9124
POA4861,17,12,46,214,296,138,158,272,127,1206
POA4865,65,21,123,1217,1751,784,689,1172,590,6202
POA4868,168,51,288,3597,4780,2021,1564,3584,1688,17238
POA4869,41,6,84,2895,3870,1649,1307,2855,1308,13874
POA4870,554,292,1155,12307,15125,5810,4279,12414,7661,57601
POA4871,55,27,127,1600,1955,1036,1022,1935,1114,8660
POA4872,23,13,57,529,735,450,437,586,506,3239
POA4873,33,34,101,999,1346,661,558,892,786,5242
POA4874,0,0,4,943,1088,338,268,791,395,3822
POA4875,18,3,23,1440,1067,282,455,1459,852,5560
POA4876,0,0,6,504,415,238,180,329,120,1791
POA4877,3,42,56,1012,1165,467,281,745,769,4442
POA4878,46,25,125,2447,3238,1225,917,1984,1271,11084
POA4879,54,15,132,3408,4847,1996,1328,2716,1360,15652
POA4880,117,55,283,1760,2436,1338,1048,2009,2310,10906
POA4881,17,3,38,604,1031,559,483,499,472,3645
POA4882,20,8,56,387,636,305,265,387,204,2185
POA4883,126,67,292,1218,1730,893,825,1439,762,6873
POA4884,27,11,57,228,446,234,235,220,141,1504
POA4885,54,7,99,517,837,493,446,557,272,3128
POA4886,3,5,14,122,175,107,110,120,63,703
POA4887,25,3,43,223,369,246,249,361,222,1674
POA4888,13,13,32,377,558,293,339,457,520,2532
POA4890,4,3,5,162,183,77,56,313,174,954
POA4891,3,0,4,79,106,43,51,116,75,477
POA4892,8,0,15,1383,688,446,460,720,362,4064
POA4895,16,11,38,552,865,530,334,621,609,3505
